ID_ESTADO;UF;CAPITAL;SIGLA;REGIAO;Cidade;PIB;Pop_est_2009;PIB_percapita
2;ALAGOAS;68;AL;NORDESTE;Quebrangulo;43188.9765625;11566;3734.12988281
2;ALAGOAS;68;AL;NORDESTE;Joaquim Gomes;67053.9296875;22436;2988.67993164
2;ALAGOAS;68;AL;NORDESTE;Limoeiro de Anadia;74192.875;26415;2808.73999023
2;ALAGOAS;68;AL;NORDESTE;Barra de São Miguel;47460.00390625;7572;6267.83007812
2;ALAGOAS;68;AL;NORDESTE;Japaratinga;30499.59179688;7763;3928.84008789
2;ALAGOAS;68;AL;NORDESTE;Estrela de Alagoas;48915.7578125;17251;2835.5300293
2;ALAGOAS;68;AL;NORDESTE;Poço das Trincheiras;36296.9296875;12463;2912.37011719
2;ALAGOAS;68;AL;NORDESTE;Porto Real do Colégio;59886.03515625;18453;3245.33007812
2;ALAGOAS;68;AL;NORDESTE;Jequiá da Praia;108508.890625;11615;9342.12988281
2;ALAGOAS;68;AL;NORDESTE;Rio Largo;364321.25;67797;5373.70996094
2;ALAGOAS;68;AL;NORDESTE;Piaçabuçu;66745.765625;18087;3690.26000977
2;ALAGOAS;68;AL;NORDESTE;Maceió;10264218.0;936314;10962.37011719
2;ALAGOAS;68;AL;NORDESTE;Coité do Nóia;31372.484375;11127;2819.48999023
2;ALAGOAS;68;AL;NORDESTE;Craíbas;73514.7890625;23294;3155.94995117
2;ALAGOAS;68;AL;NORDESTE;Belo Monte;30603.25585938;7510;4075.0
2;ALAGOAS;68;AL;NORDESTE;Coqueiro Seco;19754.61328125;5525;3575.5
2;ALAGOAS;68;AL;NORDESTE;Mar Vermelho;15055.91699219;4131;3644.62011719
2;ALAGOAS;68;AL;NORDESTE;Jaramataia;23547.14648438;6140;3835.04003906
2;ALAGOAS;68;AL;NORDESTE;Feira Grande;67006.5546875;21824;3070.32006836
2;ALAGOAS;68;AL;NORDESTE;São Miguel dos Campos;524210.28125;54064;9696.11035156
2;ALAGOAS;68;AL;NORDESTE;Paripueira;44169.84765625;10222;4321.06005859
2;ALAGOAS;68;AL;NORDESTE;Igaci;81381.578125;25865;3146.39990234
2;ALAGOAS;68;AL;NORDESTE;Carneiros;24778.15429688;8463;2927.82006836
2;ALAGOAS;68;AL;NORDESTE;Campo Grande;32337.46289062;9909;3263.43994141
2;ALAGOAS;68;AL;NORDESTE;Penedo;313189.03125;61082;5127.35009766
2;ALAGOAS;68;AL;NORDESTE;Igreja Nova;129697.7734375;23807;5447.87988281
2;ALAGOAS;68;AL;NORDESTE;Santana do Ipanema;193882.71875;43699;4436.77978516
2;ALAGOAS;68;AL;NORDESTE;Murici;109038.859375;26918;4050.7800293
